[2025-04-10 19:47:12.301] [info]  DiscordSplash.signalReady
[2025-04-10 19:47:12.307] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-04-10 19:47:12.307] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-04-10 19:47:12.309] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-04-10 19:47:12.309] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-04-10 19:47:12.310] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-04-10 19:47:12.310] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-04-10 19:47:12.320] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-04-10 19:47:12.320] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-04-10 19:47:12.321] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-04-10 19:47:12.321] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-04-10 19:47:12.321] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-04-10 19:47:12.322] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-04-10 19:47:12.322] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-04-10 19:47:12.322] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-04-10 19:47:12.746] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-04-10 19:47:12.746] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-04-10 19:47:13.265] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-04-10 19:47:13.265] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-04-10 19:47:13.270] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-04-10 19:47:13.271] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-04-10 19:47:13.301] [info]  Splash.updateCountdownSeconds: undefined
[2025-04-10 19:47:13.305] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-04-10 19:47:13.306] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-04-10 19:47:13.315] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-04-10 19:47:13.315] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-04-10 19:47:13.352] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-04-10 19:47:13.352] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-04-10 19:47:13.361] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-04-10 19:47:13.362] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
